trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,0,-45.85008849859481,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,4,1.044066548061361,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,0,-51.88438146433587,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",20,0,-22.627604908313938,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,12,-1.1249333234524153,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",20,0,7.067390348509572,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,5,4.747332026488656,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,14,-2.2085591053115827,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,2,27.135588065535384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,7,-28.188010423494493,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,0,29.377986615331224,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,0,-26.402581421754224,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",20,0,9.204962394119143,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",20,2,-39.13384537313495,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,0,27.52993771662518,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-18.00139649163832,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,0,-65.19704158304506,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",35,9,13.381746331914362,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",20,0,-20.117431786822266,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
